album,album_type,album_popularity,artists,disc_number,duration_ms,explicit,id,name,popularity,track_number,release_date,genres,stream_counts
Good Days,single,63,['SZA'],1,279204,True,3YJJjQPAbDT7mGpX3WtQ9A,Good Days,73,1,2020-12-25,['r&b'],1330331928.0
Heng:garæ,single,58,['SEVENTEEN'],1,192893,False,1kmmKv3L4kGmoPu8aDFOmk,Kidult,61,5,2020-06-22,['k-pop'],72078913.0
Levon James,album,70,['King Von'],1,196179,True,7fEoXCZTZFosUFvFQg1BmW,Took Her To The O,77,2,2020-03-06,['drill'],624453586.0
If You Love Her,single,61,['Forest Blakk'],1,217351,False,727Z2S2mtNH46CbP9EWPwY,If You Love Her,72,1,2020-09-30,['spoken word'],289356911.0
Love Goes,album,71,['Sam Smith'],2,246735,False,7t3Xdbufg7q2onVsR8RBdY,Fire On Fire,73,5,2020-10-30,['soft pop'],782008076.0
Shoot For The Stars Aim For The Moon,album,74,"['Pop Smoke', 'Lil Baby', 'DaBaby']",1,190476,True,0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),72,3,2020-07-03,"['new york drill', 'drill', 'brooklyn drill']",1181985371.0
Dark Lane Demo Tapes,album,74,"['Drake', 'GIVĒON']",1,220487,True,4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),75,3,2020-05-01,"['rap', 'r&b', 'hip hop']",848921764.0
Teen X,single,66,['Ken Carson'],1,106536,True,0HTIrbUwwFn984RzVZm5Fk,Yale,76,2,2020-08-14,['rage rap'],359887575.0
Haru wo Tsugeru,single,46,['yama'],1,196497,False,5QseXDzPvtjdeaWNhYbm0m,Haru wo Tsugeru,56,1,2020-04-17,"['j-pop', 'anime']",167524169.0
folklore,album,82,['Taylor Swift'],1,190898,False,2NmsngXHeC1GQ9wWrzhOMf,illicit affairs,72,10,2020-07-24,[],503706981.0
