album,album_type,album_popularity,artists,available_markets,disc_number,duration_ms,explicit,id,is_local,is_playable,name,popularity,track_number,type,release_date,genres
Abyss,single,53,['Jin'],185,1,155108,False,40BomFCBuJok3OjxM9oG7e,False,True,Abyss,63,1,track,2020-12-03,['k-pop']
BEST INTEREST,single,65,"['Tyler, The Creator']",185,1,127921,True,3jHdKaLCkuNEkWcLVmQPCX,False,True,BEST INTEREST,76,1,track,2020-01-25,[]
Brightest Blue,album,64,"['Ellie Goulding', 'Juice WRLD']",184,2,188066,False,15og0pCEcTFWEXOFKdcJlU,False,True,Hate Me,73,5,track,2020-07-16,"['emo rap', 'melodic rap']"
B4 The Storm,album,64,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",184,1,195428,True,1p0rEzrK7YtdRZVtiyV7RN,False,True,Lemonade (feat. NAV),74,17,track,2020-08-28,['melodic rap']
~how i'm feeling~,album,70,"['Lauv', 'Troye Sivan']",185,1,162586,False,7LpMG3AEaIJgs62HQhAa91,False,True,i'm so tired...,68,14,track,2020-03-06,[]
Baby Sleep Music,album,75,['Lullaby Time'],185,1,135341,False,4hhwyBxns9O6XIDQzL7bvF,False,True,Peaceful Sleep,67,2,track,2020-06-19,['lullaby']
Certified Hitmaker,album,60,['Lil Mosey'],179,1,162546,True,22LAwLoDA5b4AaGSkg6bKW,False,True,Blueberry Faygo,70,1,track,2020-02-06,['melodic rap']
Heaven Or Hell,album,74,['Don Toliver'],185,1,158708,False,0Li1OuXXfi7950ilZUFGkF,False,True,Cardigan,73,3,track,2020-03-13,[]
folklore,album,82,['Taylor Swift'],184,1,210251,True,0Jlcvv8IykzHaSmj49uNW8,False,True,the 1,71,1,track,2020-07-24,[]
Blue Jeans,single,57,['GANGGA'],185,1,211483,False,4kfjA6WfgKBt7I7YKuDCkU,False,True,Blue Jeans,67,1,track,2020-06-05,[]
